GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OC_P6,com.pay_my_buddy.OC_P6.configuration,CustomUserDetailsService,0,32,0,0,0,7,0,3,0,3
OC_P6,com.pay_my_buddy.OC_P6.configuration,UserDetailsImplements,0,53,0,0,0,17,0,10,0,10
OC_P6,com.pay_my_buddy.OC_P6.configuration,SecurityConfig,0,119,0,0,0,22,0,7,0,7
OC_P6,com.pay_my_buddy.OC_P6.model,User,0,7,0,0,0,2,0,1,0,1
OC_P6,com.pay_my_buddy.OC_P6.controller,LoginController,0,12,0,0,0,4,0,3,0,3
OC_P6,com.pay_my_buddy.OC_P6.controller,RegisterController,10,74,1,3,3,17,1,4,0,3
OC_P6,com.pay_my_buddy.OC_P6.controller,ProfilController,0,59,1,5,0,15,1,5,0,3
OC_P6,com.pay_my_buddy.OC_P6.controller,TransactionController,91,29,2,0,16,7,3,2,2,2
OC_P6,com.pay_my_buddy.OC_P6.controller,UserConnectionsController,0,75,0,2,0,16,0,4,0,3
OC_P6,com.pay_my_buddy.OC_P6,OcP6Application,0,8,0,0,0,3,0,2,0,2
OC_P6,com.pay_my_buddy.OC_P6.mapper,UserMapperImpl,0,47,0,4,0,15,0,5,0,3
OC_P6,com.pay_my_buddy.OC_P6.mapper,TransactionMapperImpl,4,194,2,20,2,62,2,21,0,12
OC_P6,com.pay_my_buddy.OC_P6.exception,ContactAlreadyExistException,0,4,0,0,0,2,0,1,0,1
OC_P6,com.pay_my_buddy.OC_P6.exception,SelfTransferredAmountException,0,4,0,0,0,2,0,1,0,1
OC_P6,com.pay_my_buddy.OC_P6.exception,UserNotFoundException,0,4,0,0,0,2,0,1,0,1
OC_P6,com.pay_my_buddy.OC_P6.exception,GlobalExceptionHandler,0,85,0,0,0,20,0,8,0,8
OC_P6,com.pay_my_buddy.OC_P6.exception,FriendAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
OC_P6,com.pay_my_buddy.OC_P6.exception,EntityNotFoundException,0,4,0,0,0,2,0,1,0,1
OC_P6,com.pay_my_buddy.OC_P6.exception,InsufficientBalanceException,0,4,0,0,0,2,0,1,0,1
OC_P6,com.pay_my_buddy.OC_P6.service,UserConnectionsService,0,105,0,4,0,21,0,7,0,5
OC_P6,com.pay_my_buddy.OC_P6.service,TransactionService,15,199,0,6,2,40,3,10,3,7
OC_P6,com.pay_my_buddy.OC_P6.service,UserService,9,376,6,24,0,76,6,32,1,22
